engine,operation,rows,median_time_s,peak_mem_mb
pandas,filter,100000,0.00039283325895667076,585.56416
pandas,groupby,100000,0.01234091678634286,632.373248
pandas,join,100000,0.02658587507903576,643.137536
pandas,rolling,100000,0.006723166909068823,647.774208
pandas,sort,100000,0.009738916996866465,666.386432
polars,filter,100000,0.00034079188480973244,699.334656
polars,groupby,100000,0.0018068752251565456,720.896
polars,join,100000,0.0028093750588595867,736.608256
polars,rolling,100000,0.003097584005445242,754.15552
polars,sort,100000,0.0013356669805943966,758.464512
duckdb,filter,100000,0.0006282501854002476,765.444096
duckdb,groupby,100000,0.009647917002439499,778.190848
duckdb,join,100000,0.020472874864935875,828.063744
duckdb,rolling,100000,0.03163329092785716,916.717568
duckdb,sort,100000,0.017826249822974205,943.685632
pandas,filter,500000,0.004054042045027018,1030.946816
pandas,groupby,500000,0.04761449992656708,1196.949504
pandas,join,500000,0.13464224990457296,1226.620928
pandas,rolling,500000,0.03816341608762741,1217.183744
pandas,sort,500000,0.05117795802652836,1265.17248
polars,filter,500000,0.0009174998849630356,1298.743296
polars,groupby,500000,0.007034000009298325,1351.909376
polars,join,500000,0.007969915866851807,1375.092736
polars,rolling,500000,0.014119166880846024,1411.547136
polars,sort,500000,0.00577795784920454,1403.551744
duckdb,filter,500000,0.03316037543118,1416.8064
duckdb,groupby,500000,0.042603916954249144,1418.051584
duckdb,join,500000,0.09063087496906519,1523.728384
duckdb,rolling,500000,0.10360616678372025,1679.163392
duckdb,sort,500000,0.09369033295661211,1741.553664
pandas,filter,1000000,0.010897249914705753,1853.27616
pandas,groupby,1000000,0.15886916685849428,1976.107008
pandas,join,1000000,0.280094665940851,2046.459904
pandas,rolling,1000000,0.15921516669914126,2060.94336
pandas,sort,1000000,0.09603925002738833,2049.703936
polars,filter,1000000,0.001970000099390745,2031.468544
polars,groupby,1000000,0.031872000079602,2151.743488
polars,join,1000000,0.016665749717503786,1918.910464
polars,rolling,1000000,0.022798375226557255,1988.395008
polars,sort,1000000,0.011259083170443773,1898.315776
duckdb,filter,1000000,0.07809145795181394,2099.625984
duckdb,groupby,1000000,0.0707459170371294,2092.859392
duckdb,join,1000000,0.15563504211604595,2223.423488
duckdb,rolling,1000000,0.20542020769789815,2322.661376
duckdb,sort,1000000,0.1797567498870194,2391.949312
pandas,filter,1581084,0.018954708706587553,2428.305408
pandas,groupby,1581084,0.26945529179647565,2591.1296
pandas,join,1581084,0.44825541600584984,2212.90496
pandas,rolling,1581084,0.1748480419628322,2222.98112
pandas,sort,1581084,0.15119437500834465,2102.460416
polars,filter,1581084,0.0026216250844299793,2203.385856
polars,groupby,1581084,0.06941162515431643,2537.14432
polars,join,1581084,0.02757387515157461,2150.383616
polars,rolling,1581084,0.049965166952461004,2313.043968
polars,sort,1581084,0.0346539169549942,2160.328704
duckdb,filter,1581084,0.13299145875498652,2403.565568
duckdb,groupby,1581084,0.10942087462171912,2400.468992
duckdb,join,1581084,0.28899354208260775,2796.208128
duckdb,rolling,1581084,0.3435696251690388,2979.807232
duckdb,sort,1581084,0.32730945805087686,2865.9712
